ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,accesibilidad_arterial
697.0,50,LA GLORIA,04,SAN CRISTOBAL,0.0
647.0,50,LA GLORIA,04,SAN CRISTOBAL,0.0
700.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL,1.0
756.0,58,COMUNEROS,05,USME,3.0
755.0,58,COMUNEROS,05,USME,6.0
759.0,61,CIUDAD USME,05,USME,1.0
762.0,61,CIUDAD USME,05,USME,3.0
746.0,61,CIUDAD USME,05,USME,3.0
738.0,64,MONTE BLANCO,19,CIUDAD BOLIVAR,3.0
757.0,58,COMUNEROS,05,USME,1.0
758.0,64,MONTE BLANCO,19,CIUDAD BOLIVAR,0.0
685.0,60,PARQUE ENTRENUBES,05,USME,0.0
701.0,52,LA FLORA,05,USME,2.0
693.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL,1.0
747.0,52,LA FLORA,05,USME,1.0
749.0,52,LA FLORA,05,USME,1.0
692.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL,1.0
691.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL,1.0
690.0,50,LA GLORIA,04,SAN CRISTOBAL,1.0
753.0,58,COMUNEROS,05,USME,2.0
760.0,59,ALFONSO LOPEZ,05,USME,1.0
761.0,59,ALFONSO LOPEZ,05,USME,1.0
750.0,59,ALFONSO LOPEZ,05,USME,0.0
737.0,58,COMUNEROS,05,USME,3.0
730.0,63,EL MOCHUELO,19,CIUDAD BOLIVAR,1.0
739.0,58,COMUNEROS,05,USME,1.0
734.0,57,GRAN YOMASA,05,USME,0.0
702.0,56,DANUBIO,05,USME,0.0
684.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE,0.0
682.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE,2.0
686.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL,5.0
735.0,57,GRAN YOMASA,05,USME,1.0
741.0,58,COMUNEROS,05,USME,3.0
961.0,58,COMUNEROS,05,USME,4.0
744.0,57,GRAN YOMASA,05,USME,2.0
745.0,57,GRAN YOMASA,05,USME,2.0
743.0,57,GRAN YOMASA,05,USME,1.0
740.0,57,GRAN YOMASA,05,USME,4.0
736.0,57,GRAN YOMASA,05,USME,2.0
732.0,57,GRAN YOMASA,05,USME,7.0
733.0,57,GRAN YOMASA,05,USME,2.0
