codigo_upz,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
17.0,2021,37,3,17,20,14,0,32,59,48272,22557,25715,18.85150812064965,7.664898906198211,0.6214782896917468,3.5217103082532315,4.143188597944978,2.9002320185614847,26.15596045573436,12.444098775034028
17.0,2022,43,2,0,34,6,0,27,58,47421,22285,25136,17.924548195946944,9.06771261677316,0.42175407519875163,0.0,7.169819278378777,1.2652622255962547,26.026475207538702,10.741565881604075
17.0,2023,0,1,0,21,10,0,6,26,46343,21850,24493,6.9050342014975294,0.0,0.2157823187967978,0.0,4.531428694732753,2.157823187967978,11.899313501144164,2.4496795002653817
18.0,2015,133,2,12,10,6,0,67,96,76331,35537,40794,21.354364543894356,17.424113400846313,0.26201674286986937,1.5721004572192163,1.310083714349347,0.7860502286096082,27.01409798238456,16.423983919203806
18.0,2016,224,3,21,16,3,0,112,155,78362,36404,41958,34.07263724764554,28.585283683417984,0.3828386207600623,2.679870345320436,2.041805977386999,0.3828386207600623,42.577738710031866,26.693360026693362
18.0,2017,480,1,19,32,5,0,196,341,80402,37271,43131,66.78938334867291,59.700007462500935,0.12437501554687694,2.363125295390662,3.980000497500062,0.6218750777343847,91.49204475329344,45.44295286452899
18.0,2018,714,4,49,54,8,1,338,489,82735,38291,44444,100.19943192119418,86.29963135311537,0.48347132410708893,5.922523720311839,6.5268628754457,0.9669426482141779,127.7062495103288,76.05076050760508
18.0,2019,142,2,32,28,12,0,86,130,87900,40683,47217,24.573378839590443,16.1547212741752,0.22753128555176338,3.640500568828214,3.185437997724687,1.3651877133105803,31.954378978934688,18.213778935552874
18.0,2020,32,1,15,18,6,0,20,52,89574,41579,47995,8.038046754638623,3.5724652242838326,0.11163953825886977,1.6745930738830466,2.009511688659656,0.6698372295532186,12.506313283147744,4.167100739660381
18.0,2021,34,1,33,29,5,0,39,63,91263,42547,48716,11.176489924723052,3.725496641574351,0.10957343063453974,3.6159232109398114,3.1776294884016525,0.5478671531726986,14.80715444097116,8.005583381229986
18.0,2022,45,1,0,23,7,0,26,50,92162,43207,48955,8.24634882055511,4.882706538486578,0.10850458974414617,0.0,2.4956055641153623,0.7595321282090233,11.572198949244335,5.310999897865387
18.0,2023,0,2,0,17,9,0,2,26,92548,43532,49016,3.025457060120154,0.0,0.21610407572286813,0.0,1.836884643644379,0.9724683407529066,5.9726178443443905,0.4080300310102824
19.0,2015,272,3,27,12,6,0,138,182,96569,44374,52195,33.13692799966863,28.166388799718334,0.31065869999689344,2.7959282999720405,1.2426347999875738,0.6213173999937869,41.01500878893045,26.439314110546988
19.0,2016,390,4,22,22,10,0,172,276,96516,44279,52237,46.41717435451117,40.407808031828914,0.41443905673670683,2.2794148120518876,2.2794148120518876,1.0360976418417671,62.33203098534294,32.92685261404752
19.0,2017,918,4,13,19,14,0,407,561,96457,44191,52266,100.35559886788931,95.17194190157271,0.4146925573053278,1.3477508112423153,1.969789647200307,1.451423950568647,126.94892625195176,77.87089121034707
