codigo_upz,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
67.0,2016,2,132,38,48,14,25,32,35,38,49,26,36,41,105,152,153184,76233,76951,16.777209108000836,8.61708794652183,2.4806768330896176,3.133486526007938,0.9139335700856487,1.6320242322958012,19.938871617278604,13.645046847994179
67.0,2017,1,233,30,55,17,46,60,56,60,65,50,43,47,152,229,153112,76226,76886,24.883745232248287,15.21761847536444,1.9593500182872667,3.5921417001933227,1.1102983436961178,3.0043366947071424,30.0422428042925,19.76952891293604
67.0,2017,2,342,35,28,10,35,52,64,51,69,75,66,73,174,276,153112,76226,76886,29.390250274309,22.336590208474842,2.285908354668478,1.8287266837347824,0.6531166727624222,2.285908354668478,36.20811796499882,22.63090809770309
67.0,2018,1,345,30,82,16,46,59,90,72,67,76,77,78,233,285,153854,75900,77954,33.73327960274026,22.42385638332445,1.9499005550716912,5.329728183862623,1.039946962704902,2.9898475177765937,37.54940711462451,29.88942196680093
67.0,2018,2,399,48,78,21,41,68,102,71,92,80,83,91,250,336,153854,75900,77954,38.15305419423609,25.933677382453496,3.119840888114706,5.069741443186397,1.3649303885501838,2.6648640919313116,44.26877470355731,32.07019524334864
67.0,2019,1,106,7,11,3,10,14,23,14,23,29,21,13,55,82,157159,78057,79102,8.717286315133082,6.744761674482531,0.4454087898243181,0.699928098295357,0.19088948135327918,0.6362982711775972,10.50514367705651,6.953047963389042
68.0,2015,1,25,8,9,2,11,6,13,3,10,7,7,9,19,36,48247,24089,24158,11.39967251849856,5.181669326590255,1.6581341845088815,1.8654009575724915,0.4145335461272204,2.279934503699712,14.94458051392752,7.864889477605762
68.0,2015,2,18,19,7,1,5,7,10,10,5,6,4,8,12,38,48247,24089,24158,10.36333865318051,3.730801915144983,3.9380686882085936,1.4508674114452713,0.2072667730636102,1.036333865318051,15.77483498692349,4.967298617435218
68.0,2016,1,45,18,21,1,7,24,10,14,11,11,9,13,38,54,48617,24271,24346,18.923421848324658,9.256021556245758,3.7024086224983033,4.31947672624802,0.2056893679165724,1.439825575416007,22.248774257344156,15.608313480653907
68.0,2016,2,31,18,11,1,9,9,7,17,7,11,9,10,23,47,48617,24271,24346,14.398255754160068,6.376370405413744,3.7024086224983033,2.2625830470822965,0.2056893679165724,1.8512043112491516,19.364673890651396,9.447137106711574
68.0,2017,1,48,7,13,9,13,13,15,8,8,18,10,18,34,56,49049,24492,24557,18.348997940834675,9.786132235111827,1.4271442842871414,2.6504108136761197,1.8348997940834675,2.6504108136761197,22.86460885187,13.845339414423586
68.0,2017,2,74,14,11,6,9,13,21,13,11,18,13,25,40,74,49049,24492,24557,23.24206405839059,15.086953862464066,2.8542885685742827,2.242655303879794,1.2232665293889784,1.8348997940834675,30.21394741139964,16.28863460520422
68.0,2018,1,68,11,13,7,14,16,12,19,17,23,15,11,42,71,49741,24609,25132,22.717677569811624,13.670814820771596,2.2114553386542286,2.6135381275004526,1.407289760961782,2.814579521923564,28.851233288634237,16.711761897182875
68.0,2018,2,85,31,27,2,19,16,28,21,24,30,20,25,67,97,49741,24609,25132,32.97078868539032,17.088518525964496,6.232283227116463,5.428117649424016,0.40208278884622345,3.8197864940391226,39.41647364785241,26.659239216934587
68.0,2019,1,34,6,3,0,0,7,5,6,8,4,7,6,12,31,51170,25484,25686,8.403361344537815,6.644518272425249,1.172562048075044,0.586281024037522,0.0,0.0,12.164495369643697,4.6718056528848395
69.0,2015,1,95,22,15,29,44,24,32,27,22,29,33,38,58,147,153037,75256,77781,13.395453387089397,6.2076491306024035,1.4375608512973985,0.98015512588459,1.8949665767102075,2.875121702594797,19.533326246412244,7.456833931165709
69.0,2015,2,90,24,14,29,45,22,36,25,39,33,25,22,42,160,153037,75256,77781,13.199422361912479,5.88093075530754,1.568248201415344,0.9148114508256173,1.8949665767102075,2.94046537765377,21.260763261401085,5.399776294982065
69.0,2016,1,111,21,53,16,39,27,29,33,36,41,31,43,95,145,153409,75406,78003,15.644453715231831,7.2355598432947215,1.3688897000827853,3.454816862113696,1.0429635810154554,2.542223728725173,19.229239052595283,12.179018755688885
69.0,2016,2,119,14,39,20,30,25,33,40,29,28,35,32,82,140,153409,75406,78003,14.471119686589443,7.75704163380245,0.9125931333885234,2.542223728725173,1.3037044762693193,1.955556714403979,18.5661618438851,10.51241618912093
69.0,2017,1,230,24,49,16,34,39,54,46,45,50,59,60,141,212,153994,75681,78313,22.922971024845122,14.935646843383509,1.5585022793095835,3.1819421535903993,1.0390015195397224,2.20787822902191,28.012314847848202,18.00467355356071
69.0,2017,2,340,24,8,12,52,43,70,53,65,70,62,73,145,291,153994,75681,78313,28.312791407457436,22.0787822902191,1.5585022793095835,0.5195007597698612,0.7792511396547918,3.3767549385040976,38.450866135489754,18.515444434512787
69.0,2018,1,380,26,66,25,81,66,88,65,89,88,83,99,199,379,155423,75643,79780,37.18883305559666,24.449405815098153,1.672854082085663,4.246475746832837,1.6085135404669837,5.211583871113027,50.1037769522626,24.943594885936324
69.0,2018,2,456,23,55,25,42,51,95,78,96,99,79,103,243,358,155423,75643,79780,38.66866551282629,29.33928697811778,1.479832457229625,3.538729789027364,1.6085135404669837,2.7023027479845325,47.327578229314014,30.45876159438456
69.0,2019,1,134,9,8,10,8,13,26,23,34,26,22,25,55,114,159118,77946,81172,10.621048530021744,8.421423094810141,0.5656179690544124,0.5027715280483667,0.6284644100604583,0.5027715280483667,14.625509968439689,6.7757354752870445
70.0,2015,1,60,20,17,12,34,14,22,27,20,25,11,24,42,101,92919,45751,47168,15.389748060138402,6.457236948309817,2.1524123161032724,1.8295504686877817,1.2914473896619638,3.6591009373755634,22.076020196279863,8.904341926729986
70.0,2015,2,58,17,17,12,33,15,18,23,28,23,12,18,43,94,92919,45751,47168,14.744024365307418,6.241995716699491,1.8295504686877817,1.8295504686877817,1.2914473896619638,3.5514803215704003,20.545998994557497,9.116350067842605
70.0,2016,1,72,23,17,8,31,23,29,14,21,18,25,21,50,101,93356,45954,47402,16.174643300912635,7.712412699772913,2.463687390205236,1.8209863318908266,0.8569347444192125,3.320622134624448,21.978500239369804,10.548078140162863
70.0,2016,2,65,19,13,11,25,23,23,14,23,16,18,16,42,91,93356,45954,47402,14.246540125969407,6.962594798406101,2.0352200179956297,1.3925189596812202,1.178285273576417,2.677921076310039,19.80241110675893,8.860385637736805
