codigo_localidad,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
10.0,2016,2,1647,27,93,160,205,172,366,271,317,331,296,379,781,1351,784129,371321,412808,27.189403784326302,21.004197013501603,0.34433109858199357,1.1860293395602,2.040480584189591,2.6143657484929137,36.383614177490635,18.919206992112557
10.0,2017,1,2830,29,172,174,234,358,533,430,569,559,456,534,1295,2144,786139,372061,414078,43.74544450790509,35.998722872163825,0.36889150646386965,2.1879082452339853,2.213349038783218,2.9765728452601894,57.624959348063896,31.27430097711059
10.0,2017,2,4119,40,159,209,197,473,778,580,755,742,671,725,2010,2713,786139,372061,414078,60.0911543632869,52.395314314644104,0.5088158709846478,2.022543087163975,2.6585629258947843,2.5059181645993904,72.91815051832899,48.541579122773975
10.0,2018,1,4464,21,194,231,223,467,824,619,806,801,755,861,2092,3041,792518,374253,418265,64.76824501146977,56.326796362984815,0.2649782086968372,2.4478939279612577,2.9147602956652086,2.8138162161616522,81.25519367914218,50.016138094270374
10.0,2018,2,5078,13,188,226,200,528,913,764,874,963,798,865,2334,3370,792518,374253,418265,71.9857466959741,64.07425446488281,0.16403412919328014,2.37218586833359,2.8516702459754857,2.5236019875889255,90.04603837510989,55.80194374379879
10.0,2019,1,1687,5,43,80,80,153,318,253,316,345,225,285,787,1107,802780,379603,423177,23.605470988315602,21.014474700416052,0.06228356461296993,0.5356386556715415,0.9965370338075189,0.9965370338075189,29.162045610809187,18.597419046876368
11.0,2015,1,1412,37,217,85,78,260,260,229,260,285,262,273,782,1046,1117403,527043,590360,16.368311164369526,12.636443610765319,0.33112493880900623,1.942003019501469,0.7606924269936629,0.6980471683000673,19.84657798320061,13.246154888542584
11.0,2015,2,1212,52,211,92,93,190,229,226,235,275,259,246,696,964,1117403,527043,590360,14.855875633052712,10.846579076662582,0.4653647788667115,1.8883070834783868,0.8233376856872587,0.8322870083577724,18.290727701534788,11.78941662714276
11.0,2016,1,1881,44,208,92,111,270,365,290,372,329,342,368,983,1352,1125695,530496,595199,20.75162455194347,16.70967713279352,0.39086964053318174,1.8477473916114047,0.8172728847511982,0.986057502254163,25.48558330317288,16.51548473703753
11.0,2016,2,1979,49,154,108,131,259,403,307,368,357,327,400,967,1454,1125695,530496,595199,21.506713630246203,17.58025042307197,0.4352866451392251,1.368043741866136,0.9594072994905369,1.1637255206783363,27.408312221015805,16.246667081093886
11.0,2017,1,3171,55,208,106,158,434,571,497,557,527,518,594,1520,2178,1134676,534440,600236,32.59080125075352,27.946303614423854,0.48471986716913024,1.8331224067487106,0.9341873803623236,1.3924679820495012,40.75293765436719,25.323372806696035
11.0,2017,2,4800,38,207,142,168,569,816,659,814,803,818,876,2309,3045,1134676,534440,600236,47.19408888528532,42.30282477112409,0.3348973627713991,1.8243093182547265,1.2514585661457545,1.4805988669893433,56.9755257839982,38.46820250701391
11.0,2018,1,5238,46,257,139,160,560,859,744,923,899,889,966,2593,3245,1149040,540726,608314,50.825036552252314,45.58588038710576,0.4003341920211655,2.236649724987816,1.209705493281348,1.3924667548562277,60.01190991370861,42.626012223950134
