LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,theft_to_motorcycles
-74.19179999999994,4.62858999984805,07,BOSA,84,BOSA OCCIDENTAL,2022-06-23,00:00:00,MASCULINO,2022,1
-74.07039999999995,4.585439999849488,03,SANTA FE,96,LOURDES,2022-06-14,00:00:00,MASCULINO,2022,1
-74.16849999999994,4.620269999848345,08,KENNEDY,81,GRAN BRITALIA,2022-08-07,00:00:00,MASCULINO,2022,1
-74.11209999999994,4.581409999849612,18,RAFAEL URIBE URIBE,39,QUIROGA,2022-02-01,00:00:00,FEMENINO,2022,1
-74.06339999999994,4.612229999848618,03,SANTA FE,92,LA MACARENA,2022-12-23,00:00:00,MASCULINO,2022,1
-74.09449999999998,4.586529999849425,15,ANTONIO NARIÑO,38,RESTREPO,2022-11-25,00:00:00,MASCULINO,2022,1
-74.15099999999995,4.566159999850076,19,CIUDAD BOLÍVAR,66,SAN FRANCISCO,2022-08-11,00:00:00,MASCULINO,2022,1
-74.12339999999995,4.595179999849133,16,PUENTE ARANDA,41,MUZU,2022-06-29,00:00:00,MASCULINO,2022,1
-74.15189999999996,4.621759999848295,08,KENNEDY,47,KENNEDY CENTRAL,2022-08-29,00:00:00,MASCULINO,2022,1
-74.08099999999996,4.673249999846613,12,BARRIOS UNIDOS,22,DOCE DE OCTUBRE,2022-02-14,00:00:00,MASCULINO,2022,1
-74.15539999999999,4.571339999849897,19,CIUDAD BOLÍVAR,70,JERUSALEM,2022-09-19,00:00:00,MASCULINO,2022,1
-74.10429999999997,4.745319999844267,11,SUBA,28,EL RINCON,2022-01-24,00:00:00,MASCULINO,2022,1
-74.14679999999998,4.553349999850488,19,CIUDAD BOLÍVAR,67,LUCERO,2022-12-21,00:00:00,MASCULINO,2022,1
-74.13269999999994,4.561759999850238,06,TUNJUELITO,62,TUNJUELITO,2022-10-02,00:00:00,MASCULINO,2022,1
-74.19289999999995,4.637129999847807,07,BOSA,86,EL PORVENIR,2022-04-30,00:00:00,MASCULINO,2022,1
-74.18739999999997,4.623179999848238,07,BOSA,84,BOSA OCCIDENTAL,2022-06-10,00:00:00,MASCULINO,2022,1
-74.15159999999997,4.623469999848242,08,KENNEDY,47,KENNEDY CENTRAL,2022-09-23,00:00:00,FEMENINO,2022,1
-74.11939999999998,4.646359999847513,09,FONTIBÓN,112,GRANJAS DE TECHO,2022-04-12,00:00:00,MASCULINO,2022,1
-74.12779999999998,4.706139999845552,10,ENGATIVÁ,73,GARCES NAVAS,2022-03-08,00:00:00,MASCULINO,2022,1
-74.09819999999996,4.740569999844422,11,SUBA,28,EL RINCON,2022-09-21,00:00:00,MASCULINO,2022,1
-74.12549999999999,4.669649999846726,09,FONTIBÓN,114,MODELIA,2022-11-16,00:00:00,MASCULINO,2022,1
-74.20459999999997,4.611569999848602,07,BOSA,85,BOSA CENTRAL,2022-10-20,00:00:00,MASCULINO,2022,1
-74.14829999999995,4.604069999848852,08,KENNEDY,48,TIMIZA,2022-10-03,00:00:00,MASCULINO,2022,1
-74.12289999999996,4.607549999848767,16,PUENTE ARANDA,40,CIUDAD MONTES,2022-09-09,00:00:00,MASCULINO,2022,1
-74.18429999999995,4.622859999848264,07,BOSA,84,BOSA OCCIDENTAL,2022-05-11,00:00:00,MASCULINO,2022,1
-74.16139999999996,4.6116899998486325,08,KENNEDY,48,TIMIZA,2022-12-18,00:00:00,MASCULINO,2022,1
-74.19449999999995,4.610949999848649,07,BOSA,85,BOSA CENTRAL,2022-09-09,00:00:00,MASCULINO,2022,1
