AÑO,FECHA_HECHO,DIA_SEMANA,GENERO,HORA_HECHO,DIRECCION_HECHO,LONGITUD,LATITUD
2018,2018-05-07,Lunes,MASCULINO,01:20:00,KR 8 A CL 19 SUR  ,"-74,0947529153","4,5708619375"
2018,2018-05-08,Martes,MASCULINO,20:30:00,CL 80  KR 83   ,"-74,0989947654","4,7016861046"
2018,2018-05-09,Miércoles,MASCULINO,06:45:00,KR 86  CL 131   NORTE,"-74,0841392096","4,7270032595"
2018,2018-05-09,Miércoles,MASCULINO,22:00:00,KR 71 ABIS CL 4  6 ,"-74,1239983179","4,6545055001"
2018,2018-05-10,Jueves,MASCULINO,21:00:00,KR 57  CL 18  80 SUR,"-74,1712499683","4,6166363397"
2018,2018-05-10,Jueves,MASCULINO,20:30:00,CL 74  KR 10 D 32 NOROCCIDENTE,"-74,1581597057","4,6253673889"
2018,2018-05-11,Viernes,MASCULINO,22:30:00,TR 39  CL 38 B 63 SUR,"-74,1241706498","4,5944184342"
2018,2018-05-12,Sábado,MASCULINO,02:00:00,CL 59  KR 9   NORTE,"-74,0627857176","4,6450759631"
2018,2018-05-12,Sábado,MASCULINO,03:30:00,KR 28  CL 46   NORTE,"-74,0780796734","4,6359756534"
2018,2018-05-12,Sábado,MASCULINO,00:30:00,KR 27  CL 53   NORTE,"-74,0758373466","4,642162213"
2018,2018-05-14,Lunes,MASCULINO,00:30:00,KR 84 A CL 71  3 ,"-74,1064459421","4,6934312657"
