"LONGITUD","LATITUD","codigo_localidad","nombre_localidad","codigo_upz","nombre_upz","FECHA_HECHO","HORA_HECHO","DIA","MES","AÑO","DIA_SEMANA","DIRECCION_HECHO","GENERO","sexual"
"-74.08884699999999","4.740757999844396","11","SUBA","28","EL RINCON","2018-11-01","00:00:00","1","11","2018","Jueves","LAS FLORES","FEMENINO","1"
"-74.09159699999998","4.57250599984988","4","SAN CRISTÓBAL","34","20 DE JULIO","2018-11-28","00:00:00","28","11","2018","Miércoles","GRANADA SUR","FEMENINO","1"
"-74.15055999999998","4.607339999848732","8","KENNEDY","48","TIMIZA","2021-06-15","00:00:00","15","6","2021","Martes","TIMIZA A","FEMENINO","1"
"-74.09688499999999","4.562069999850247","4","SAN CRISTÓBAL","34","20 DE JULIO","2020-03-03","00:00:00","3","3","2020","Martes","VILLA DE LOS ALPES I","FEMENINO","1"
"-74.09520299999997","4.516444999851694","5","USME","60","PARQUE ENTRENUBES","2019-10-10","00:00:00","10","10","2019","Jueves","BOLONIA I","MASCULINO","1"
"-74.07701236399998","4.657429662847151","12","BARRIOS UNIDOS","98","LOS ALCAZARES","2019-02-02","00:00:00","2","2","2019","Sábado","LA PAZ","FEMENINO","1"
"-74.03265999999996","4.733077999844652","1","USAQUÉN","12","TOBERIN","2019-11-04","00:00:00","4","11","2019","Lunes","LA LIBERIA","FEMENINO","1"
"-74.08776999999998","4.599839999848981","14","LOS MÁRTIRES","102","LA SABANA","2019-07-15","00:00:00","15","7","2019","Lunes","LA ESTANZUELA","FEMENINO","1"
"-74.16142291499995","4.5518086098505375","19","CIUDAD BOLÍVAR","67","LUCERO","2020-01-13","00:00:00","13","1","2020","Lunes","PARAISO QUIBA","FEMENINO","1"
"-74.07383854199998","4.704004457845601","11","SUBA","24","NIZA","2020-12-09","00:00:00","9","12","2020","Miércoles","NIZA SUR","MASCULINO","1"
"-74.12879199999998","4.744151999844298","11","SUBA","71","TIBABUYES","2020-04-15","00:00:00","15","4","2020","Miércoles","SANTA RITA DE SUBA","FEMENINO","1"
"-74.08723341099994","4.614647575848507","14","LOS MÁRTIRES","102","LA SABANA","2021-01-01","00:00:00","1","1","2021","Viernes","PALOQUEMAO","FEMENINO","1"
"-74.06285339299995","4.6960830378458605","11","SUBA","20","LA ALHAMBRA","2018-01-18","00:00:00","18","1","2018","Jueves","PUENTE LARGO","FEMENINO","1"
"-74.14387999999997","4.687089999846184","9","FONTIBÓN","75","FONTIBON","2020-06-14","00:00:00","14","6","2020","Domingo","VERSALLES FONTIBON","FEMENINO","1"
"-74.11721999999997","4.578679999849659","18","RAFAEL URIBE URIBE","39","QUIROGA","2021-06-07","00:00:00","7","6","2021","Lunes","QUIROGA CENTRAL","MASCULINO","1"
"-74.10571296199998","4.549005972850629","18","RAFAEL URIBE URIBE","55","DIANA TURBAY","2018-06-24","00:00:00","24","6","2018","Domingo","SAN AGUSTIN","FEMENINO","1"
"-74.12884499999996","4.700318999845722","10","ENGATIVÁ","74","ENGATIVA","2018-11-18","00:00:00","18","11","2018","Domingo","EL MUELLE","FEMENINO","1"
"-74.07855722399995","4.675404751846516","12","BARRIOS UNIDOS","22","DOCE DE OCTUBRE","2018-03-06","00:00:00","6","3","2018","Martes","LA LIBERTAD","FEMENINO","1"
"-74.18232299999994","4.609907999848695","7","BOSA","85","BOSA CENTRAL","2020-06-01","00:00:00","1","6","2020","Lunes","BOSA","FEMENINO","1"
"-74.16902499999998","4.571946999849883","19","CIUDAD BOLÍVAR","69","ISMAEL PERDOMO","2020-01-03","00:00:00","3","1","2020","Viernes","CARACOLI","FEMENINO","1"
"-74.19810499999994","4.633124999847934","7","BOSA","87","TINTAL SUR","2021-11-11","00:00:00","11","11","2021","Jueves","CIUDADELA EL RECREO II","FEMENINO","1"
"-74.14455299999997","4.685158999846228","9","FONTIBÓN","75","FONTIBON","2020-01-03","00:00:00","3","1","2020","Viernes","VERSALLES FONTIBON","FEMENINO","1"
"-74.16843499999999","4.624010999848221","8","KENNEDY","81","GRAN BRITALIA","2019-09-09","00:00:00","9","9","2019","Lunes","CHUCUA DE LA VACA I","FEMENINO","1"
"-74.18163254199999","4.626383448848149","7","BOSA","84","BOSA OCCIDENTAL","2020-03-06","00:00:00","6","3","2020","Viernes","CHICALA","FEMENINO","1"
"-74.12668899999994","4.742590999844367","11","SUBA","71","TIBABUYES","2018-02-01","00:00:00","1","2","2018","Jueves","SANTA CECILIA","FEMENINO","1"
