LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,homicide
-74.12166007699994,4.577545661849713,18,RAFAEL URIBE URIBE,39,QUIROGA,2019-12-16,00:00:00,MASCULINO,2019,1
-74.15679999999998,4.565869999850135,19,CIUDAD BOLÍVAR,70,JERUSALEM,2022-03-20,00:00:00,MASCULINO,2022,1
-74.19499999999994,4.638419999847753,07,BOSA,86,EL PORVENIR,2022-07-04,00:00:00,MASCULINO,2022,1
-74.19126413699996,4.6306801148480226,07,BOSA,86,EL PORVENIR,2020-08-31,00:00:00,MASCULINO,2020,1
-74.16389999999996,4.626609999848111,08,KENNEDY,80,CORABASTOS,2022-04-09,00:00:00,MASCULINO,2022,1
-74.08360746199997,4.755129709843967,11,SUBA,27,SUBA,2018-10-20,00:00:00,MASCULINO,2018,1
-74.10217874599994,4.734689075844613,11,SUBA,28,EL RINCON,2019-05-01,00:00:00,MASCULINO,2019,1
-74.12192819099994,4.566800881850077,18,RAFAEL URIBE URIBE,54,MARRUECOS,2021-03-27,00:00:00,MASCULINO,2021,1
-74.17239448699996,4.646881095847488,08,KENNEDY,82,PATIO BONITO,2019-03-16,00:00:00,MASCULINO,2019,1
-74.11708087599999,4.628898754848025,16,PUENTE ARANDA,111,PUENTE ARANDA,2021-10-10,00:00:00,MASCULINO,2021,1
-74.08993975099997,4.59076273384931,15,ANTONIO NARIÑO,35,CIUDAD JARDIN,2020-10-04,00:00:00,MASCULINO,2020,1
-74.02289999999994,4.737629999844492,01,USAQUÉN,11,SAN CRISTOBAL NORTE,2022-11-21,00:00:00,MASCULINO,2022,1
-74.11549999999994,4.5193299998515934,05,USME,57,GRAN YOMASA,2022-02-17,00:00:00,MASCULINO,2022,1
-74.21270507099996,4.635414051847842,07,BOSA,87,TINTAL SUR,2020-11-27,00:00:00,MASCULINO,2020,1
-74.12493534999999,4.601638372848964,16,PUENTE ARANDA,41,MUZU,2020-11-06,00:00:00,MASCULINO,2020,1
-74.14467859999996,4.633616052847875,08,KENNEDY,46,CASTILLA,2019-11-05,00:00:00,MASCULINO,2019,1
-74.17293676199995,4.6426954018476305,08,KENNEDY,82,PATIO BONITO,2018-06-27,00:00:00,MASCULINO,2018,1
-74.14919999999995,4.4761899998530055,19,CIUDAD BOLÍVAR,UPR3,UPR RIO TUNJUELO,2022-09-10,00:00:00,FEMENINO,2022,1
-74.10236383899996,4.542119999850897,18,RAFAEL URIBE URIBE,55,DIANA TURBAY,2018-06-08,00:00:00,MASCULINO,2018,1
-74.11466703399998,4.54939610285064,18,RAFAEL URIBE URIBE,54,MARRUECOS,2021-07-11,00:00:00,MASCULINO,2021,1
-74.14557955799995,4.536480699851043,19,CIUDAD BOLÍVAR,68,EL TESORO,2020-05-04,00:00:00,MASCULINO,2020,1
-74.08239999999995,4.588149999849373,03,SANTA FE,95,LAS CRUCES,2022-12-20,00:00:00,MASCULINO,2022,1
-74.09329475099997,4.5525078778505215,04,SAN CRISTÓBAL,50,LA GLORIA,2018-09-08,00:00:00,MASCULINO,2018,1
-74.07628341699996,4.611580972848629,14,LOS MÁRTIRES,102,LA SABANA,2020-02-03,00:00:00,FEMENINO,2020,1
-74.07745299699997,4.6742774598465715,12,BARRIOS UNIDOS,22,DOCE DE OCTUBRE,2020-08-16,00:00:00,MASCULINO,2020,1
-74.08159999999998,4.561049999850241,04,SAN CRISTÓBAL,32,SAN BLAS,2022-07-26,00:00:00,MASCULINO,2022,1
-74.09019999999998,4.689329999846078,10,ENGATIVÁ,26,LAS FERIAS,2022-09-04,00:00:00,MASCULINO,2022,1
-74.07405183399999,4.593342501849202,17,CANDELARIA,94,LA CANDELARIA,2021-04-20,00:00:00,MASCULINO,2021,1
-74.01677298299995,4.73171020584472,01,USAQUÉN,11,SAN CRISTOBAL NORTE,2019-09-16,00:00:00,FEMENINO,2019,1
-74.17543157599994,4.6076016058487586,08,KENNEDY,48,TIMIZA,2019-05-27,00:00:00,MASCULINO,2019,1
-74.12697788399998,4.4699759058532385,05,USME,61,CIUDAD USME,2018-12-23,00:00:00,MASCULINO,2018,1
-74.17829999999998,4.51504999985174,19,CIUDAD BOLÍVAR,UPR3,UPR RIO TUNJUELO,2022-10-22,00:00:00,MASCULINO,2022,1
-74.15566160099996,4.574349059849812,19,CIUDAD BOLÍVAR,70,JERUSALEM,2018-12-25,00:00:00,MASCULINO,2018,1
-74.16441677899996,4.62422816584818,08,KENNEDY,80,CORABASTOS,2021-07-17,00:00:00,MASCULINO,2021,1
-74.08053481599995,4.586919033849433,03,SANTA FE,95,LAS CRUCES,2018-05-05,00:00:00,MASCULINO,2018,1
-74.08339999999998,4.755249999843943,11,SUBA,27,SUBA,2022-06-15,00:00:00,MASCULINO,2022,1
-74.07168528699998,4.605327037848811,03,SANTA FE,93,LAS NIEVES,2018-12-19,00:00:00,MASCULINO,2018,1
-74.17094287299994,4.650943838847323,08,KENNEDY,79,CALANDAIMA,2020-05-17,00:00:00,MASCULINO,2020,1
-74.17917709599999,4.609080307848697,07,BOSA,85,BOSA CENTRAL,2021-12-22,00:00:00,MASCULINO,2021,1
