LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,sexual_crimes
-74.09194099999996,4.72290568284497,11,SUBA,28,EL RINCON,2019-01-15,00:00:00,FEMENINO,2019,1
-74.07228399999997,4.596304999849098,17,CANDELARIA,94,LA CANDELARIA,2019-11-18,00:00:00,FEMENINO,2019,1
-74.21136999999999,4.621606999848281,07,BOSA,87,TINTAL SUR,2019-05-22,00:00:00,FEMENINO,2019,1
-74.11237999999997,4.515200999851753,05,USME,57,GRAN YOMASA,2019-09-13,00:00:00,FEMENINO,2019,1
-74.13354499999997,4.615758999848461,08,KENNEDY,44,AMERICAS,2019-10-14,00:00:00,FEMENINO,2019,1
-74.15977699999996,4.57477299984982,19,CIUDAD BOLÍVAR,70,JERUSALEM,2020-01-31,00:00:00,FEMENINO,2020,1
-74.09342054199993,4.527285436851359,04,SAN CRISTÓBAL,51,LOS LIBERTADORES,2020-01-18,00:00:00,FEMENINO,2020,1
-74.13976854199996,4.668174453846781,09,FONTIBÓN,75,FONTIBON,2020-12-01,00:00:00,FEMENINO,2020,1
-74.08372499999996,4.571599999849913,04,SAN CRISTÓBAL,33,SOSIEGO,2020-02-25,00:00:00,FEMENINO,2020,1
-74.11739999999998,4.706509999845519,10,ENGATIVÁ,73,GARCES NAVAS,2020-12-01,00:00:00,MASCULINO,2020,1
-74.14032874599997,4.54472351185082,19,CIUDAD BOLÍVAR,68,EL TESORO,2021-10-09,00:00:00,FEMENINO,2021,1
-74.19955945499999,4.613054287848579,07,BOSA,85,BOSA CENTRAL,2020-07-08,00:00:00,FEMENINO,2020,1
-74.10140054199996,4.757013464843894,11,SUBA,27,SUBA,2020-12-24,00:00:00,FEMENINO,2020,1
-74.13211999999999,4.58318999984955,06,TUNJUELITO,42,VENECIA,2018-09-18,00:00:00,FEMENINO,2018,1
-74.09495999999996,4.648819999847415,13,TEUSAQUILLO,104,PARQUE SIMON BOLIVAR - CAN,2021-08-03,00:00:00,FEMENINO,2021,1
-74.09155618099999,4.538655607850997,04,SAN CRISTÓBAL,51,LOS LIBERTADORES,2021-10-06,00:00:00,FEMENINO,2021,1
-74.03232199999997,4.725668999844898,01,USAQUÉN,13,LOS CEDROS,2018-06-01,00:00:00,FEMENINO,2018,1
-74.18631811699998,4.612545652848579,07,BOSA,85,BOSA CENTRAL,2019-03-19,00:00:00,FEMENINO,2019,1
-74.11159499999997,4.565929999850094,18,RAFAEL URIBE URIBE,53,MARCO FIDEL SUAREZ,2018-09-18,00:00:00,FEMENINO,2018,1
-74.10648499999996,4.648162999847442,13,TEUSAQUILLO,109,CIUDAD SALITRE ORIENTAL,2018-09-22,00:00:00,MASCULINO,2018,1
-74.16172199999994,4.543947999850824,19,CIUDAD BOLÍVAR,67,LUCERO,2018-11-27,00:00:00,FEMENINO,2018,1
-74.19811941099994,4.633135040847929,07,BOSA,87,TINTAL SUR,2018-04-22,00:00:00,FEMENINO,2018,1
-74.09028454899999,4.728695699844818,11,SUBA,28,EL RINCON,2018-08-21,00:00:00,FEMENINO,2018,1
-74.04218099999997,4.7987589998425495,11,SUBA,2,LA ACADEMIA,2018-06-22,00:00:00,MASCULINO,2018,1
-74.20387799999997,4.6227379998482325,07,BOSA,84,BOSA OCCIDENTAL,2018-07-14,00:00:00,FEMENINO,2018,1
